,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,comfort_deviation
5550,2/2016,400.1454168434329,6143.237914478241,4.2175,20.98694909557897,36.7615,0.0130509044210249
5551,2/2016,401.9382831620295,6151.685400035878,4.145,20.98662487757956,36.8116,0.0133751224204381
5552,2/2016,403.3301430949263,6155.23535116623,4.0725,20.986054414537296,36.8533,0.0139455854627037
5553,2/2016,404.309368286437,6153.864669865884,4.0,20.98513797365628,36.8858,0.0148620263437244
5554,2/2016,406.0678287797465,6167.590034863459,3.96,20.98433548969188,36.9288,0.0156645103081238
5555,2/2016,407.6789810718868,6179.449094501175,3.92,20.983614405872387,36.969,0.0163855941276125
5556,2/2016,409.356262039769,6192.26970970964,3.88,20.982945492355444,37.0089,0.0170545076445556
5557,2/2016,411.3424512575214,6209.150471421912,3.84,20.98231741388853,37.0519,0.0176825861114693
5558,2/2016,413.9319569197461,6233.743262502132,3.8,20.9817510464378,37.1029,0.0182489535622032
5559,2/2016,417.4893744957719,6270.465233383679,3.76,20.981314782994097,37.1677,0.0186852170059026
5560,2/2016,422.4584416885384,6324.560013808693,3.72,20.9811412880102,37.2539,0.0188587119898002
5561,2/2016,429.353213899372,6401.899974922211,3.68,20.981445029614004,37.3705,0.0188995232324131
5562,3/2016,396.6714534914392,5093.602501646945,0.34,21.02743522521365,39.7138,0.0
5563,3/2016,441.27957138689976,5677.665448243626,0.325,21.039604092891416,39.6239,0.0
5564,3/2016,478.9714280973348,6157.949664642919,0.31,21.04157362894541,39.6369,0.0
5565,3/2016,511.1547871916832,6553.862212796093,0.295,21.03714626566964,39.7236,0.0
5566,3/2016,538.7255414710086,6879.486925883699,0.28,21.029138946825817,39.8599,0.0
5567,3/2016,562.1599148447964,7144.224033206378,0.265,21.019594425686403,40.0252,0.0
5568,3/2016,581.5461768341925,7353.026154368471,0.25,21.0099380566197,40.2008,0.0
5569,3/2016,596.7449796296403,7508.453130381104,0.235,21.001090200797137,40.3683,0.0
5570,3/2016,607.1799864140994,7608.032954573105,0.22,20.993542882644647,40.5087,0.0064571173553531
5571,3/2016,612.9291157483649,7655.894543381473,0.205,20.9874344927804,40.6113,0.0125655072195982
5572,3/2016,615.181424412981,7666.981850902555,0.19,20.98265727817161,40.679,0.0173427218283883
5573,3/2016,615.0066073152957,7653.899951713679,0.175,20.978966472433743,40.7168,0.0210335275662565
5574,3/2016,613.2199454153338,7625.84215528436,0.16,20.976057283446394,40.7298,0.0239427165536056
5575,3/2016,611.7895230039113,7608.653681225213,0.175,20.9741407945077,40.7424,0.0258592054922992
5576,3/2016,609.8682460845638,7587.672540464022,0.19,20.97299324838692,40.7436,0.0270067516130794
5577,3/2016,607.7874020959662,7566.255968828234,0.205,20.972415273293592,40.737,0.0275847267064079
5578,3/2016,605.726788495055,7546.100261808082,0.22,20.97224080043109,40.7252,0.0277591995689086
5579,3/2016,603.6448727026481,7526.162561804284,0.2325,20.97229343413091,40.7083,0.0277591995689086
5580,3/2016,601.6124012596501,7507.447235202463,0.245,20.972463141702544,40.6881,0.0277065658690887
5581,3/2016,599.5544945707062,7489.038546851776,0.2575,20.972661498070934,40.6647,0.0275368582974557
5582,3/2016,597.3588251009137,7469.676401870073,0.27,20.972812583108183,40.6371,0.0273385019290621
5583,3/2016,594.89265291138,7447.934019757365,0.2825,20.97284418949831,40.6042,0.0271874168918166
5584,3/2016,592.0221867912819,7422.416003603884,0.295,20.97268020567299,40.5645,0.0273197943270098
5585,3/2016,588.6362607968034,7391.994581574856,0.3075,20.972235058500264,40.5164,0.0277649414997362
5586,3/2016,584.6796015813105,7356.142336649132,0.32,20.97141134054688,40.4587,0.0285886594531206
5587,3/2016,582.0503041560543,7342.063839803862,0.375,20.970845985074742,40.4183,0.0291540149252576
5588,3/2016,578.9915062656492,7323.268826931528,0.43,20.970524572482525,40.3735,0.0294754275174753
5589,3/2016,575.5982294439813,7300.880823233774,0.485,20.970413704365,40.3245,0.0295862956349992
5590,3/2016,571.8940640777895,7275.215283800828,0.54,20.97046762953887,40.2709,0.0295862956349992
5591,3/2016,567.8314988363571,7245.805344451926,0.595,20.970629805798183,40.2118,0.0295323704611298
5592,3/2016,563.2938170449604,7211.436107456006,0.65,20.970830366764616,40.1454,0.0293701942018138
5593,3/2016,558.0997792591965,7170.200407778675,0.7050000000000001,20.97098039442024,40.0692,0.0291696332353836
5594,3/2016,552.013940088211,7119.605745494087,0.76,20.970963948607476,39.9795,0.0290360513925271
5595,3/2016,544.7672163158021,7056.781188473893,0.815,20.970629046664712,39.8721,0.0293709533352881
5596,3/2016,536.0942120196921,6978.855821309345,0.87,20.96977929392489,39.7421,0.0302207060751094
5597,3/2016,525.7956963511917,6883.60782751667,0.925,20.96816872237781,39.5853,0.0318312776221851
5598,3/2016,513.8362734648553,6770.515718287907,0.98,20.96550369454104,39.3985,0.0344963054589619
5599,3/2016,505.3887813239071,6715.91291075156,1.155,20.96355264406817,39.2565,0.0364473559318305
5600,3/2016,495.9099934846365,6648.269513566239,1.33,20.96224325051411,39.1009,0.0377567494858901
5601,3/2016,485.8765271823982,6573.052990433277,1.505,20.961462528274215,38.9348,0.0385374717257818
5602,3/2016,475.6451379080578,6494.328001798475,1.68,20.961087426024232,38.7611,0.038912573975768
5603,3/2016,465.5801036087227,6416.639569509383,1.8575,20.9610480213502,38.5842,0.0389519786497984
